City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
86,Hami,CN,42.8,93.45,29.46,46,100,4.36,overcast clouds
87,Pevek,RU,69.7008,170.3133,-24.75,98,99,7.23,overcast clouds
88,Hermanus,ZA,-34.4187,19.2345,64.8,89,98,10.92,overcast clouds
89,Avarua,CK,-21.2078,-159.775,80.65,74,89,6.91,overcast clouds
90,Christchurch,NZ,-43.5333,172.6333,63.0,81,90,4.0,overcast clouds
91,Ribnica,SI,45.7386,14.7275,37.29,99,100,1.92,overcast clouds
92,Madimba,TZ,-10.4,40.3333,78.39,76,66,4.94,broken clouds
93,Livramento,BR,-3.0254,-60.1803,77.68,94,40,1.14,light rain
94,Yulara,AU,-25.2406,130.9889,89.44,14,1,12.66,clear sky
95,Atuona,PF,-9.8,-139.0333,78.49,67,62,12.21,broken clouds
96,Cape Town,ZA,-33.9258,18.4232,64.11,84,20,1.99,few clouds
97,Talnakh,RU,69.4865,88.3972,-26.64,100,70,5.44,broken clouds
98,Bluff,NZ,-46.6,168.3333,61.81,60,35,10.74,scattered clouds
99,Rincon,US,32.296,-81.2354,57.16,82,75,5.75,broken clouds
100,Airai,TL,-8.9266,125.4092,71.58,67,93,0.76,overcast clouds
101,Longyearbyen,SJ,78.2186,15.6401,24.64,80,90,2.3,overcast clouds
102,Ponta Delgada,PT,37.7333,-25.6667,56.5,82,20,4.61,few clouds
103,Inhambane,MZ,-23.865,35.3833,75.88,90,23,7.0,few clouds
104,Bathsheba,BB,13.2167,-59.5167,79.41,73,20,16.11,few clouds
105,Tiksi,RU,71.6872,128.8694,-9.17,97,100,8.21,overcast clouds
106,Saskylakh,RU,71.9167,114.0833,-12.78,99,100,5.64,overcast clouds
107,Castro,BR,-24.7911,-50.0119,53.69,93,0,5.66,clear sky
108,Evensk,RU,61.95,159.2333,-25.58,82,7,5.35,clear sky
109,Pogradec,AL,40.9025,20.6525,39.72,96,100,2.68,overcast clouds
110,Nikolskoye,RU,59.7035,30.7861,0.81,96,27,5.35,scattered clouds
111,Port Alfred,ZA,-33.5906,26.891,69.46,95,26,7.09,scattered clouds
112,Kiama,AU,-34.6833,150.8667,60.46,88,87,24.87,light rain
113,Namatanai,PG,-3.6667,152.4333,86.47,71,62,11.23,light rain
114,Asfi,MA,32.2994,-9.2372,55.78,77,0,19.01,clear sky
115,Aklavik,CA,68.2191,-135.0107,2.23,99,42,7.52,scattered clouds
116,Tasiilaq,GL,65.6145,-37.6368,26.76,61,100,8.25,overcast clouds
117,Esperance,AU,-33.8667,121.9,91.24,37,87,11.83,overcast clouds
118,Saint George,US,37.1041,-113.5841,48.67,88,90,8.99,overcast clouds
119,Caravelas,BR,-17.7125,-39.2481,72.28,96,100,3.36,light rain
120,Xichang,CN,27.8964,102.2634,53.98,76,31,2.57,scattered clouds
121,Kenai,US,60.5544,-151.2583,23.02,92,90,31.07,overcast clouds
122,Grindavik,IS,63.8424,-22.4338,34.27,100,75,5.75,broken clouds
123,Bejar,ES,40.3864,-5.7634,46.33,93,65,1.83,broken clouds
124,Sheltozero,RU,61.3667,35.3667,3.11,95,98,5.12,overcast clouds
125,Cayenne,GF,4.9333,-52.3333,81.09,86,75,3.0,moderate rain
126,Bengkulu,ID,-3.8004,102.2655,73.78,94,100,9.89,overcast clouds
127,Vila,PT,42.0304,-8.1588,46.74,95,100,6.15,overcast clouds
128,Havoysund,NO,70.9963,24.6622,22.08,66,51,11.27,broken clouds
129,Lompoc,US,34.6391,-120.4579,53.56,76,1,11.5,clear sky
130,Maputo,MZ,-25.9653,32.5892,76.23,93,81,4.21,broken clouds
131,Sabang,ID,5.8933,95.3214,82.4,74,100,18.03,overcast clouds
132,Saint-Francois,FR,46.4154,3.9054,36.48,89,90,11.5,heavy intensity rain
133,Tessalit,ML,20.1986,1.0114,66.72,11,97,7.96,overcast clouds
134,Mafeteng,LS,-29.823,27.2374,57.83,74,99,5.12,overcast clouds
135,Williams Lake,CA,52.1415,-122.1445,22.57,91,75,2.3,broken clouds
136,Constitucion,CL,-35.3333,-72.4167,56.12,92,11,1.05,few clouds
137,Touros,BR,-5.1989,-35.4608,81.5,79,100,14.63,overcast clouds
138,Eydhafushi,MV,5.1033,73.0708,80.76,79,72,9.48,broken clouds
139,Tuatapere,NZ,-46.1333,167.6833,61.83,55,97,11.05,overcast clouds
140,Norman Wells,CA,65.282,-126.8329,-7.56,84,40,2.3,scattered clouds
141,Comodoro Rivadavia,AR,-45.8667,-67.5,57.06,72,0,9.22,clear sky
142,Vestmannaeyjar,IS,63.4427,-20.2734,36.03,83,100,10.13,light rain
143,Kulhudhuffushi,MV,6.6221,73.07,80.87,80,100,9.46,overcast clouds
144,Torbay,CA,47.6666,-52.7314,30.58,95,90,40.29,snow
145,Namibe,AO,-15.1961,12.1522,69.98,67,88,6.98,overcast clouds
146,Los Llanos De Aridane,ES,28.6585,-17.9182,61.12,78,75,1.99,broken clouds
147,Batagay-Alyta,RU,67.8006,130.4114,-36.2,91,73,2.84,broken clouds
148,Budureasa,RO,46.6667,22.5,37.81,98,100,0.94,overcast clouds
149,Sorong,ID,-0.8833,131.25,84.2,72,98,5.14,heavy intensity rain
150,Carnarvon,AU,-24.8667,113.6333,78.87,65,0,17.27,clear sky
151,Mahebourg,MU,-20.4081,57.7,75.25,94,40,5.75,scattered clouds
152,Inirida,CO,3.8653,-67.9239,78.04,84,100,1.48,overcast clouds
153,Mehamn,NO,71.0357,27.8492,20.61,78,7,15.37,clear sky
154,Tual,ID,-5.6667,132.75,84.0,77,100,19.71,overcast clouds
155,Bairiki,KI,1.3292,172.9752,87.8,66,20,14.97,few clouds
156,Coahuayana,MX,18.7333,-103.6833,85.48,91,59,0.94,broken clouds
157,Halifax,CA,44.6453,-63.5724,23.05,90,47,1.01,scattered clouds
158,Salamiyah,SY,35.0113,37.0532,49.17,87,3,2.37,clear sky
159,Abalak,RU,58.1286,68.5944,17.53,76,100,9.22,overcast clouds
160,Buritizeiro,BR,-17.3511,-44.9622,70.39,89,64,1.99,broken clouds
161,Santiago,CL,-33.4569,-70.6483,72.86,43,0,9.22,clear sky
162,Port Elizabeth,ZA,-33.918,25.5701,68.29,100,75,3.44,broken clouds
163,Dunedin,NZ,-45.8742,170.5036,60.8,60,55,1.99,broken clouds
164,Zhoucheng,CN,35.9122,116.3117,47.86,57,52,2.59,broken clouds
165,Crawfordsville,US,40.0411,-86.8745,51.89,94,98,10.69,overcast clouds
166,Laem Sing,TH,12.4816,102.0738,84.54,83,100,11.79,overcast clouds
167,Manosque,FR,43.8288,5.7869,35.38,63,100,2.59,overcast clouds
168,Tilichiki,RU,60.4667,166.1,-15.36,86,10,7.09,clear sky
169,Lebu,CL,-37.6167,-73.65,56.41,87,0,15.95,clear sky
170,Hithadhoo,MV,-0.6,73.0833,81.52,77,79,11.83,broken clouds
171,Katsuura,JP,35.1333,140.3,55.11,70,100,13.06,overcast clouds
172,Provideniya,RU,64.3833,-173.3,5.11,78,75,13.42,broken clouds
173,San Patricio,US,28.017,-97.5169,75.88,89,17,12.55,few clouds
174,Shubarkuduk,KZ,49.1447,56.4872,31.71,41,100,18.7,overcast clouds
175,Nelson Bay,AU,-32.7167,152.15,77.05,34,0,19.35,clear sky
176,Seymchan,RU,62.8833,152.4333,-46.08,97,50,0.18,scattered clouds
177,Atambua,ID,-9.1061,124.8925,84.51,65,39,2.37,scattered clouds
178,Guane,CU,22.2025,-84.0875,73.31,81,0,4.56,clear sky
179,Dali,CN,25.7,100.1833,53.33,67,4,4.12,clear sky
180,Clyde River,CA,70.4692,-68.5914,-10.97,77,22,3.44,few clouds
181,Vao,NC,-22.6667,167.4833,79.27,81,5,12.82,clear sky
182,Lorengau,PG,-2.0226,147.2712,86.09,72,100,16.93,overcast clouds
183,Delta,NG,5.5,6.0,75.88,93,7,2.57,clear sky
184,Vila Velha,BR,-20.3297,-40.2925,69.94,91,40,1.99,scattered clouds
185,Minab,IR,27.1467,57.0801,53.1,44,100,2.06,overcast clouds
186,Guozhen,CN,34.3659,107.359,48.47,55,77,2.17,broken clouds
187,Castleisland,IE,52.2333,-9.4667,40.66,74,100,21.36,overcast clouds
188,Nizhniy Tsasuchey,RU,50.5167,115.1333,15.84,88,100,3.51,overcast clouds
189,Manaure,CO,11.7751,-72.4445,79.11,78,2,16.31,clear sky
190,Teahupoo,PF,-17.8333,-149.2667,78.76,65,30,9.84,scattered clouds
